edv_id_00;edv_id;bnr;flae_nam;flae_id;region;;baum_id;jahr_ek;zf;alt_ek_vor;alt_ek;d_ek_vor;d_ek;dg_bestand;bhd_dg;g_ges;n_ges;misch_proz_g;misch_proz_n;alt_ets13;ets_stufe13;ets_gruppe13;alt_ets14;ets_stufe14;ets_gruppe14;tot_14;d_14;incr_vor;incr14;alt_ets15;ets_stufe15;ets_gruppe15;tot_15;d_15;incr15;alt_ets16;ets_stufe16;ets_gruppe16;tot_16;d_16;incr16;ets_stufe17;tot_17;d_17;incr17;Bem 17;ets_stufe_18;tot_18;d_18;dk_18;incr18;Bem 18;Nek_N;U-Nek-%;Hmax-Nek;ets_stufe_19;tot_19;d_19;dk_19;incr19;Bem 19;Nek_N;U-Nek-%;Hmax-Nek;ets_stufe_20;tot_20;d_20;dk_20;incr20;Nek_N;U-Nek-%;Hmax-Nek;Bemerk20;Bemerk_Unstimmigkeiten;Durchmesser problematisch bzw. raus lassen;ETS  problematisch;ets_stufe_21;tot_21;d_21;Nek_N;U-Nek-%;Hmax-Nek;Sicht;WZE in %;Bemerk21;Differenz D 2020 2021;ets_stufe_22;tot_22;d_22;Nek_N;U-Nek-%;Hmax-Nek;Sicht;WZE in %;Bemerk22
17921300;179213;593;Goettingen 3C Unterstand;1101;1;;8;2010.4;0;20;26;;86;95.6;0.9;26.1;817;24.9;21.1;28.6;1;0;29.6;4;1;0;92;;1.7;30.6;5;1;0;92;0;31.6;5;1;0;92;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;F;;;;;;;;;;0;;;;;;;;;
17921300;179213;614;Goettingen 3C Unterstand;1101;1;;16;2010.4;0;20;26;;71;95.6;0.74;26.1;817;24.9;21.1;28.6;4;1;29.6;5;1;0;74;;0.8;30.6;5;1;0;74;0;31.6;5;1;0;74;0;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;F;F;;;;;;;;;;0;;;;;;;;;
17921300;179213;8;Goettingen 3C Oberstand;11;1;;1;2010.4;0;161;167;570;605;347.5;1.74;26.1;817;24.9;21.1;169.6;2;0;170.6;3;1;0;619;5.8;3.9;171.6;2;0;0;622;3;172.6;3;1;0;629;7;3;;629;0;;4;;629.5;617 642;0.5;Frostriss;0;;;4;;632;642 622;2.5;Rinden- Stammrisse! Stockfaeule!;0;;;4;;634;642 626;2;0;;;Rinden- Stammrisse! Stockfaeule!;;F;F;3;;651;;;;2;45;;17;3;;652;;;;2;60;
17921300;179213;12;Goettingen 3C Oberstand;11;1;;2;2010.4;0;161;167;616;633;347.5;1.82;26.1;817;24.9;21.1;169.6;2;0;170.6;2;0;0;642;2.8;2.5;171.6;2;0;0;649;7;172.6;3;1;0;653;4;3;;653;0;;3;;646.5;652 641 ;-6.5;;0;;;3;;648.5;645 652;2;Stockfaeule!;0;;;3;;654;645 663;5.5;0;;;Stockfaeule!;;F;F;3;;668;;;;2;65;;14;4;;677;;;;1;80;
17921300;179213;44;Goettingen 3C Oberstand;11;1;;3;2010.4;0;161;167;574;603;347.5;1.74;26.1;817;24.9;21.1;169.6;2;0;170.6;3;1;0;612;4.8;2.5;171.6;2;0;0;614;2;172.6;3;1;0;617;3;4;;623;6;;3;;627.5;615 640;4.5;d17 falsch;0;;;4;;628.5;641 616;1;Stockfaeule!;0;;;4;;629;642 616;0.5;0;;;Stockfaeule!;;F;F;3;;642;;;;2;70;;13;3;;643;;;;1;70;
17921300;179213;93;Goettingen 3C Oberstand;11;1;;4;2010.4;0;161;167;762;809;347.5;2.33;26.1;817;24.9;21.1;169.6;2;0;170.6;2;0;0;818;7.8;2.5;171.6;2;0;0;828;10;172.6;2;0;0;834;6;2;;834;0;BHD! Borke reisst auf;3;;840.5;875 806;6.5;Stammrisse;0;;;17;;841.5;807 876;1;Kernfaeule!;0;;;2;;859;832 886;17.5;0;;;Kernfaeule!;;F;F;2;;;;;;2;30;;66;5;2;;;;;;;umgestürzt
17921300;179213;99;Goettingen 3C Oberstand;11;1;;5;2010.4;0;161;167;458;469;347.5;1.35;26.1;817;24.9;21.1;169.6;3;1;170.6;4;1;0;476;1.8;1.9;171.6;3;1;0;479;3;172.6;4;1;0;481;2;4;;481;0;;4;;478.5;493 464;-2.5;Stockfaeule BHD;0;;;4;;481;468 494;2.5;Stockfaeule!;0;;;3;;483.5;473 494;2.5;0;;;Stockfaeule!;;F;F;3;;500;;;;2;40;;16.5;4;;495;;;;1;70;
17921300;179213;128;Goettingen 3C Oberstand;11;1;;6;2010.4;0;161;167;570;583;347.5;1.68;26.1;817;24.9;21.1;169.6;2;0;170.6;2;0;0;589;2.2;1.7;171.6;3;1;0;592;3;172.6;3;1;0;594;2;3;;596;2;;4;;602.5;621 584;6.5;Stockfaeule;0;;;4;;603.5;585 622;1;Kernfaeule!;0;;;3;;607.5;589 626;4;0;;;Kernfaeule!;;F;F;2;;614;;;;2;35;;6.5;2;;619;;;;2;20;Höhlen
17921300;179213;138;Goettingen 3C Oberstand;11;1;;7;2010.4;0;161;167;742;771;347.5;2.22;26.1;817;24.9;21.1;169.6;1;0;170.6;2;0;0;785;4.8;3.9;171.6;2;0;0;795;10;172.6;2;0;0;802;7;3;;807;5;;3;;806;842 770;-1;Stockfaeule;0;;;2;;808;772 844;2;Stockfaeule!;0;;;2;;813.5;777 850;5.5;0;;;Stockfaeule!;;F;F;2;;833;;;;2;20;;19.5;2;;835;;;;2;25;
17921300;179213;596;Goettingen 3C Unterstand;1101;1;;9;2010.4;0;20;26;;88;95.6;0.92;26.1;817;24.9;21.1;28.6;2;0;29.6;3;1;0;105;;4.7;30.6;2;0;0;105;0;31.6;2;0;0;109;4;2;;111;2;;2;;111.5;114 109;0.5;Schildnekrose ab 50cm-90cm;1;30;40;3;;116;117 115;4.5;;1;50;135;2;;118.5;122 115;2.5;1;50;80;;;F;F;1;;128;;;;2;10;;9.5;1;;128;;;;2;0;Fällschaden
